,Picture,Name,Date of Birth,Birthplace
19,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,Lindsey Pearlman,Not Available,Not Available
20,https://resizing.flixster.com/rCiVZWVzWiCQK6YAJ9Cxzr3kecY=/218x280/v2/https://flxt.tmsimg.com/assets/490465_v9_bb.jpg,Sebastian Stan,"Aug 13, 1982","Constanta, Romania"
21,https://resizing.flixster.com/c4CA_VOVWFgrHSu_58X62pmmj0k=/218x280/v2/https://flxt.tmsimg.com/assets/733885_v9_bb.jpg,Tom Holland,"Jun 1, 1996","Kingston-upon-Thames, Surrey, England, UK"
22,https://resizing.flixster.com/wH7FIGG7KrbPvrj9ekSRU0Dp_7Y=/218x280/v2/https://flxt.tmsimg.com/assets/764429_v9_bb.jpg,Mckenna Grace,"Jun 25, 2006","Texas, USA"
23,https://resizing.flixster.com/NMliKy_y478Q4VYDA52gNyQMOKU=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/763256/763256_v9_bb.jpg,Carrie Coon,"Jan 24, 1981","Copley, Ohio, USA"
24,https://resizing.flixster.com/SkSOGc60euVHpXCXoP0UdOlZiY0=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/256802/256802_v9_bb.jpg,Jesse Plemons,"Apr 2, 1988","Dallas, Texas, USA"
25,https://resizing.flixster.com/kZfphx5IwbNaFx5EH_526UwPL3U=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/497560/497560_v9_bb.jpg,Katie Lowes,"Sep 22, 1982","Queens, New York, USA"
26,https://resizing.flixster.com/7xHfSbpxddJuCPG_m4Ehd7R0tOE=/218x280/v2/https://flxt.tmsimg.com/assets/73951_v9_bb.jpg,Kirsten Dunst,"Apr 30, 1982","Point Pleasant, New Jersey, USA"
27,https://resizing.flixster.com/eiXM33M5-jos6OkZR5HJnY6SP0E=/218x280/v2/https://flxt.tmsimg.com/assets/234706_v9_bb.jpg,Matthew Goode,"Apr 3, 1978","Exeter, Devon, England, UK"
28,/assets/pizza-pie/images/poster_default.c8c896e70c3.gif,Alexis Floyd,Not Available,Not Available
29,https://resizing.flixster.com/L0V3qIV1shqL7SB-_jb3dVPYqQI=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/587180/587180_v9_bb.jpg,Ana de Armas,"Apr 30, 1988","Havana, Cuba"
30,https://resizing.flixster.com/mPY1-2z8tKScsVaq4xENBMvVDN8=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/532009/532009_v9_bb.jpg,Arian Moayed,"Apr 15, 1980",Iran
31,https://resizing.flixster.com/rhbmg6bS5P2raLf6ZorU9PgEcp0=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/519017/519017_v9_bc.jpg,Gemma Arterton,"Feb 2, 1986","Gravesend, Kent, England, UK"
32,https://resizing.flixster.com/1V6jFhoIVlsfM7GWElSzhmRtdwk=/218x280/v2/https://flxt.tmsimg.com/assets/1209177_v9_ba.jpg,Emma Mackey,"Jan 4, 1996","Le Mans, France"
33,https://resizing.flixster.com/b1lYlXFrk5nslNvW9jlqlr90nlY=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/620481/620481_v9_bb.jpg,Elizabeth Olsen,"Feb 16, 1989","Sherman Oaks, California, USA"
34,https://resizing.flixster.com/TDgqs5_wkp7gFDFYGgfI22v53bg=/218x280/v2/https://flxt.tmsimg.com/assets/290142_v9_ba.jpg,Minka Kelly,"Jun 24, 1980","Los Angeles, California, USA"
35,https://resizing.flixster.com/rL0vZsp7HAtp3Xmfx_JhdmN2bDs=/218x280/v2/https://flxt.tmsimg.com/assets/609607_v9_ba.jpg,Sophia Ali,"Nov 7, 1995","San Diego, California, USA"
36,https://resizing.flixster.com/jhodxiMC1F6f1YmR7mtw3XiJ3Hw=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/194/194_v9_bb.jpg,Kenneth Branagh,"Dec 10, 1960","Belfast, Northern Ireland, UK"
37,https://resizing.flixster.com/sjJpqfzq8gzKLEYDEzs1oTTgr5Y=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/506834/506834_v9_bc.jpg,Zoë Kravitz,"Dec 1, 1988","Los Angeles, California, USA"
38,https://resizing.flixster.com/YD7EiGPYLEte-V8Pf66aHv6H2hk=/218x280/v2/https://flxt.tmsimg.com/assets/1079882_v9_aa.jpg,Saamer Usmani,Not Available,Not Available
39,https://resizing.flixster.com/sdlVd4AcKql8ya-8X4f4Louqv60=/218x280/v2/https://flxt.tmsimg.com/assets/613372_v9_bb.jpg,Anders Holm,"May 29, 1981","Evanston, Illinois, USA"
40,https://resizing.flixster.com/nvCoXfvTbiSWSvoMnX6kdocsOtw=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/201017/201017_v9_ba.jpg,Kristin Kreuk,"Dec 30, 1982","Vancouver, British Columbia, Canada"
41,https://resizing.flixster.com/lRLirOJ-zMx7C0-gum7l8IZpv8Y=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/1175748/1175748_v9_ba.jpg,Alexa Demie,"Dec 11, 1990","Los Angeles, California, USA"
42,https://resizing.flixster.com/OnNTcvfT5Zt3yL4JlxWRMs3ZhRo=/218x280/v2/https://flxt.tmsimg.com/assets/505427_v9_bb.jpg,Maude Apatow,"Dec 15, 1997","Los Banos, California, USA"
43,https://resizing.flixster.com/HlcVXZIkLuKWrBR7dyWP7S2N7HM=/218x280/v2/https://flxt.tmsimg.com/assets/12584_v9_bb.jpg,Christina Ricci,"Feb 12, 1980","Santa Monica, California, USA"
44,https://resizing.flixster.com/eRzvVRuM5JFuo7ThaeUghwqo8Ug=/218x280/v2/https://flxt.tmsimg.com/assets/942601_v9_bb.jpg,Martin Sensmeier,"Jun 27, 1985","Anchorage, Alaska, USA"
45,https://resizing.flixster.com/tNXlSoGuPAMVJX6-zgAMOoFE7xY=/218x280/v2/https://flxt.tmsimg.com/assets/817181_v9_bb.jpg,Madison Iseman,"Feb 14, 1997","Myrtle Beach, South Carolina, USA"
46,https://resizing.flixster.com/oLH_wV91NS77R_lCoO8jo7hnDvQ=/218x280/v2/https://flxt.tmsimg.com/assets/46690_v9_ba.jpg,Ming-Na Wen,"Nov 20, 1963","Coloane Island, Macau"
47,https://resizing.flixster.com/GCTHPYEhp16-v8fgbRGBZemnVNM=/218x280/v2/https://flxt.tmsimg.com/assets/853751_v9_ba.jpg,Morfydd Clark,"Mar 17, 1989",Sweden
48,https://resizing.flixster.com/iSHHaUf25FS-kt6EZAuM9nVfR5A=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/562592/562592_v9_bb.jpg,Stephanie Beatriz,"Feb 10, 1981","Neuquén, Argentina"
49,https://resizing.flixster.com/4cquYXyvDpIFNrlLYJI_n5Y5iWs=/218x280/v2/https://flxt.tmsimg.com/assets/76543_v9_ba.jpg,Cole Hauser,"Mar 22, 1975","Santa Barbara, California, USA"
50,https://resizing.flixster.com/1E8oYqx7Da_ueZzl3GBMb3SOb-M=/218x280/v2/https://flxt.tmsimg.com/assets/74125_v9_bb.jpg,Denise Richards,"Feb 17, 1971","Downers Grove, Illinois, USA"
51,https://resizing.flixster.com/rO4tH7Fk_k1XflhA53ezN6MFhBM=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/57282/57282_v9_bb.jpg,Ryan Reynolds,"Oct 23, 1976","Vancouver, British Columbia, Canada"
52,https://resizing.flixster.com/XTcj5hiyruOoZzi3dR1LlsyxhM0=/218x280/v2/https://flxt.tmsimg.com/assets/275831_v9_bb.jpg,Jordan Peele,"Feb 21, 1979","New York, New York, USA"
53,https://resizing.flixster.com/vThRiE-oNohhcXd63cBUr1T5WyU=/218x280/v2/https://flxt.tmsimg.com/assets/555306_v9_bb.jpg,Jenny Slate,"Mar 25, 1982","Milton, Massachusetts, USA"
54,https://resizing.flixster.com/VJxHlELBSOzXgLDtgcdwyh6F5d8=/218x280/v2/https://flxt.tmsimg.com/assets/617359_v9_bb.jpg,Jodie Comer,"Mar 11, 1993","Liverpool, England, UK"
55,https://resizing.flixster.com/CnITTH_O8_97J1TEyAlvgv0w6ck=/218x280/v2/https://flxt.tmsimg.com/assets/75645_v9_ba.jpg,Jennifer Beals,"Dec 19, 1963","Chicago, Illinois, USA"
56,https://resizing.flixster.com/66OCUrs9Lhef8TSFiJjHCRGEnKc=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/267864/267864_v9_bb.jpg,Kristen Bell,"Jul 18, 1980","Huntington Woods, Michigan, USA"
57,https://resizing.flixster.com/4k6lyrswBmrxmb6jRnOcaQar0Rg=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/157705/157705_v9_ba.jpg,Mena Suvari,"Feb 13, 1979","Newport, Rhode Island, USA"
58,https://resizing.flixster.com/GaISa_nUOWmxO5flBqNZ9uyIkKM=/218x280/v2/https://flxt.tmsimg.com/assets/378_v9_bd.jpg,Tom Cruise,"Jul 3, 1962","Syracuse, New York, USA"
59,https://resizing.flixster.com/jX76HIgMgJglhrqSRyIcl1MBISg=/218x280/v2/https://flxt.tmsimg.com/assets/5692_v9_bb.jpg,Anthony Edwards,"Jul 19, 1962","Santa Barbara, California, USA"
60,https://resizing.flixster.com/PtHUfNVrGzddT287tYKPNksmjaY=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/535891/535891_v9_bc.jpg,Timothée Chalamet,"Dec 27, 1995","Manhattan, New York, USA"
61,https://resizing.flixster.com/POn3jF_r_raijAIMlMkynOcjX1Q=/218x280/v2/https://flxt.tmsimg.com/assets/182175_v9_bb.jpg,Kelly Reilly,"Jul 18, 1977","Surrey, England, UK"
62,https://resizing.flixster.com/ItDDQ0XV4Aej4Y_23p695gWhJlw=/218x280/v2/https://flxt.tmsimg.com/assets/287279_v9_bc.jpg,Renée Zellweger,"Apr 25, 1969","Katy, Texas, USA"
63,https://resizing.flixster.com/h6DxBfIbmXnGUyBx2VCiMXX010o=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/68580/68580_v9_bb.jpg,Jennifer Lopez,"Jul 24, 1969","Bronx, New York, USA"
64,https://resizing.flixster.com/Vgsv-htyHZW6WfWeiFU66kHyaaE=/218x280/v2/https://flxt.tmsimg.com/assets/1165835_v9_ba.jpg,Sophie Thatcher,Not Available,Not Available
65,https://resizing.flixster.com/K13mrYVfDpJenq7nTNXhS7_GT74=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/1240985/1240985_v9_ba.jpg,Barbie Ferreira,"Dec 14, 1996","Queens, New York, USA"
66,https://resizing.flixster.com/ShXi-X2CtcOzpAV7z9geP6SkW7s=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/75711/75711_v9_bc.jpg,Rhys Ifans,"Jul 22, 1967","Haverfordwest, Pembrokeshire, Wales, UK"
67,https://resizing.flixster.com/_g-Cnq6jnzs54aZL0sta626hjEo=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/250833/250833_v9_bb.jpg,Henry Cavill,"May 5, 1983","Jersey, Channel Islands"
68,https://resizing.flixster.com/u6Vxf_Zp8xiw8IzBHMsy_JoxRn8=/218x280/v2/https://flxt.tmsimg.com/assets/696890_v9_ba.jpg,Anna Hopkins,"Feb 12, 1987","Montreal, Quebec, Canada"
69,https://resizing.flixster.com/ZXsNSGUIaj_6W6CW9p2hiBEd1wc=/218x280/v2/https://flxt.tmsimg.com/assets/366064_v9_aa.jpg,Julia Fox,"Feb 2, 1990","Milan, Italy"
70,https://resizing.flixster.com/NkHLLUfBvunp7UlSLSWaN6Z0OcM=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/75936/75936_v9_bc.jpg,Temuera Morrison,"Dec 26, 1960","Rotorua, North Island, New Zealand"
71,https://resizing.flixster.com/MuOOh3g_swV9J29fNOxJKw9IdIE=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/74456/74456_v9_bb.jpg,Kelly Hu,"Feb 13, 1968","Honolulu, Hawaii, USA"
72,https://resizing.flixster.com/qkkrOuCVbtsAJlItSC_ETbyzcpc=/218x280/v2/https://flxt.tmsimg.com/assets/653777_v9_bb.jpg,Jenna Ortega,"Sep 27, 2002","Coachella Valley, California, USA"
73,https://resizing.flixster.com/AnLIq9_QdeQ5C9n9tCAUz_5UEBw=/218x280/v2/https://flxt.tmsimg.com/assets/62982_v9_bb.jpg,Tom Hanks,"Jul 9, 1956","Concord, California, USA"
74,https://resizing.flixster.com/6DK3La6nyFqWuDQRQzgU-bmDSss=/218x280/v2/https://flxt.tmsimg.com/assets/350_v9_bb.jpg,Jennifer Connelly,"Dec 12, 1970","Cairo, New York, USA"
75,https://resizing.flixster.com/P7LdImqG7ViTWo3QLYOcUqGeYqk=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/161316/161316_v9_ba.jpg,Corey Burton,"Aug 3, 1955","West Los Angeles, California, USA"
76,https://resizing.flixster.com/87PCTZ-zpwowP_ujQfFfb9O6vW4=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/286724/286724_v9_ba.jpg,Shailene Woodley,"Nov 15, 1991","Simi Valley, California, USA"
77,https://resizing.flixster.com/mmVmGatyKhJs1a3lARhSL0oaX2Y=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/68907/68907_v9_bb.jpg,Alanna Ubach,"Oct 3, 1975","Downey, California, USA"
78,https://resizing.flixster.com/d4tskrCwGSgi77atsNDQBX3YY6c=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/164843/164843_v9_bb.jpg,Timothy Olyphant,"May 20, 1968","Honolulu, Hawaii, USA"
79,https://resizing.flixster.com/2nAwYFlYxcbD29H4GSAEdwcvJyg=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/70375/70375_v9_bc.jpg,Cate Blanchett,"May 14, 1969","Melbourne, Victoria, Australia"
80,https://resizing.flixster.com/ZfLfx4KWQexIcxq2BCLPtBebRu0=/218x280/v2/https://flxt.tmsimg.com/assets/616832_v9_bb.jpg,Diane Guerrero,"Jul 21, 1986","Passaic, New Jersey, USA"
81,https://resizing.flixster.com/CuEpaG1_5NCUuGrLdPRPvx8FwLE=/218x280/v2/https://flxt.tmsimg.com/assets/666730_v9_ba.jpg,Mindy Robinson,"Feb 14, 1980","Fall River, Massachusetts, USA"
82,https://resizing.flixster.com/ywtF3q0l7HkRxTvWjBbbUszEN8w=/218x280/v2/https://flxt.tmsimg.com/assets/534862_v9_bc.jpg,Rachel Brosnahan,"Jul 12, 1990","Milwaukee, Wisconsin, USA"
83,https://resizing.flixster.com/_WMBACkzcg4y17_9aiGUawoF-ew=/218x280/v2/https://resizing.flixster.com/KLxcE36ZNENLC_23WoChmpOkvMA=/ems.ZW1zLXByZC1hc3NldHMvY2VsZWJyaXRpZXMvMzkzZTdmN2UtNDlhYi00NzllLWJlOTktZDVkYWU2ZWFmYzgwLmpwZw==,Scarlett Johansson,"Nov 22, 1984","New York, New York, USA"
84,https://resizing.flixster.com/Bbk4p-Hu7fKceeVYKbQQEbo8s3I=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/487714/487714_v9_bb.jpg,Robert Pattinson,"May 13, 1986","Barnes, London, England, UK"
85,https://resizing.flixster.com/P-1KzgFaUT3cKfQ2Y0tIA-nvkY0=/218x280/v2/https://flxt.tmsimg.com/assets/532761_v9_bc.jpg,Gal Gadot,"Apr 30, 1985","Rosh Ha'ayin, Israel"
86,https://resizing.flixster.com/28yTcCF6yznLdCKaRUK1b6PWDMg=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/57807/57807_v9_bb.jpg,Sandra Bullock,"Jul 26, 1964","Arlington, Virginia, USA"
87,https://resizing.flixster.com/oBh6IOZ7XUI7YQxB-MElO3QP-wA=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/506866/506866_v9_bc.jpg,Andrew Garfield,"Aug 20, 1983","Los Angeles, California, USA"
88,https://resizing.flixster.com/DH5XQ8SAmbmi1plAdwQgmgXJlmI=/218x280/v2/https://flxt.tmsimg.com/assets/493764_v9_bb.jpg,Haley Bennett,"Jan 7, 1988","Fort Myers, Florida, USA"
89,https://resizing.flixster.com/6rQzbs0LtwUVLn-7V8U1cbWrVmY=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/723292/723292_v9_bb.jpg,Rebecca Ferguson,"Oct 19, 1983","Stockholm, Sweden"
90,https://resizing.flixster.com/UwQPgxgSniMQSJ2dJOYO1-L9GyE=/218x280/v2/https://flxt.tmsimg.com/assets/43431_v9_ba.jpg,Mark Wahlberg,"Jun 5, 1971","Dorchester, Massachusetts, USA"
91,https://resizing.flixster.com/derO7QE7Nm3KbkZIBblcubAhXJM=/218x280/v2/https://flxt.tmsimg.com/assets/872667_v9_bb.jpg,Florence Pugh,"Jan 3, 1996","Oxford, Oxfordshire, England, UK"
92,https://resizing.flixster.com/dJ64JzzkOoCzntOzPf2W1kauops=/218x280/v2/https://flxt.tmsimg.com/assets/320382_v9_bb.jpg,Stephanie Leonidas,"Feb 14, 1984","London, England, UK"
93,https://resizing.flixster.com/0Nn-ZbvJIPgURwlfogoyWJDQi6M=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/269411/269411_v9_bc.jpg,Tom Hardy,"Sep 15, 1977","Hammersmith, London, England, UK"
94,https://resizing.flixster.com/Xrw1IJB_382JFolAf2jAKuJ5YDQ=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/1221619/1221619_v9_ba.jpg,Ava Michelle,Not Available,Not Available
95,https://resizing.flixster.com/SZHjuzmcO04JKHeHloi7F4-r5g0=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/1240990/1240990_v9_ba.jpg,Angus Cloud,"Jul 10, 1994","Oakland, California, USA"
96,https://resizing.flixster.com/avp6b1U0W4cK310HxfW_voT6IcM=/218x280/v2/https://flxt.tmsimg.com/assets/322712_v9_ba.jpg,Kelly Carlson,"Feb 17, 1976","Minneapolis, Minnesota, USA"
97,https://resizing.flixster.com/p4VOP9F9FPCwCeKhErAyMNcOca8=/218x280/v2/https://flxt.tmsimg.com/assets/1317513_v9_aa.jpg,Xochitl Gómez,Not Available,Not Available
98,https://resizing.flixster.com/XOqdSvFesIITbEjtRY2Kqsz1DxI=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/600790/600790_v9_bb.jpg,Rose Leslie,"Feb 9, 1987","Aberdeen, Scotland, UK"
99,https://resizing.flixster.com/YaMurgVjlRbBPbhvFgPLVAZoJVg=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/235135/235135_v9_ba.jpg,Dwayne Johnson,"May 2, 1972","Hayward, California, USA"
100,https://resizing.flixster.com/HTxOaccwqabK2pkR9nKXWzItYhk=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/525345/525345_v9_bb.jpg,Cassidy Freeman,"Apr 22, 1982","Chicago, Illinois, USA"
101,https://resizing.flixster.com/BaNthaRc3BNf7P9LeSkWKiOtd4c=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/515489/515489_v9_bc.jpg,Betty Gilpin,"Jul 21, 1986","New York, New York, USA"
102,https://resizing.flixster.com/80tXZlb6edax9bneoKLtIqlAePE=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/510415/510415_v9_bd.jpg,Hailee Steinfeld,"Dec 11, 1996","Tarzana, California, USA"
103,https://resizing.flixster.com/fTmkkK2g0AApV8vnSJHYszbolZ0=/218x280/v2/https://flxt.tmsimg.com/assets/1366_v9_bc.jpg,Brad Pitt,"Dec 18, 1963","Shawnee, Oklahoma, USA"
104,https://resizing.flixster.com/J2wt94aViCUIsgTX_Zv9dEDHJdY=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/425071/425071_v9_ba.jpg,Alexander Skarsgård,"Aug 25, 1976","Stockholm, Sweden"
105,https://resizing.flixster.com/dt-Q5T9JtuZOz2AjHhvDmonTZPs=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/494807/494807_v9_bb.jpg,Pedro Pascal,"Apr 2, 1975","Santiago, Chile"
106,https://resizing.flixster.com/1j1TbHDBmZlMb7qiY-HWkPZlA_w=/218x280/v2/https://flxt.tmsimg.com/assets/273671_v9_ba.jpg,Travis Fimmel,"Jul 15, 1979","Echuca, Victoria, Australia"
107,https://resizing.flixster.com/ZLsolPVAEJEhjRpc2F2FLb_EHO8=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/104/104_v9_bb.jpg,Jason Bateman,"Jan 14, 1969","Rye, New York, USA"
108,https://resizing.flixster.com/3qcJFBb0YlVLrV1tvGm6DK2qIwg=/218x280/v2/https://flxt.tmsimg.com/assets/152388_v9_bb.jpg,Melanie Lynskey,"May 16, 1977","New Plymouth, New Zealand"
109,https://resizing.flixster.com/-oBr-JpYaWJSn9UwQ37_lX_No5Q=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/1412/1412_v9_ba.jpg,Sam Raimi,"Oct 23, 1959","Royal Oak, Michigan, USA"
110,https://resizing.flixster.com/YwjJyHoQ2RwfxZw9eucJOqC7Clk=/218x280/v2/https://resizing.flixster.com/Z6QOyy3r0aONCRvlCXjbW7OPbNg=/ems.ZW1zLXByZC1hc3NldHMvY2VsZWJyaXRpZXMvOTVjNDE5NTktMmJiZC00NjIwLWI0NjItNjc5NDg4OGQ5NTFkLmpwZw==,Ashley Johnson,"Aug 9, 1983","Camarillo, California, USA"
111,https://resizing.flixster.com/Ie5E9fw47UbT6KGMi2LdqsCQUqw=/218x280/v2/https://flxt.tmsimg.com/assets/75411_v9_bb.jpg,Malcolm Goodwin,"Nov 28, 1982","Brooklyn, New York, USA"
112,https://resizing.flixster.com/0q1s8uq60MjEXiQYRB3kZ0tLcbo=/218x280/v2/https://flxt.tmsimg.com/assets/532661_v9_ba.jpg,Rooney Mara,"Apr 17, 1985","Bedford, New York, USA"
113,https://resizing.flixster.com/X9JnVUw2pVebgVUfmJXvvelmVPI=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/7386/7386_v9_bb.jpg,Baz Luhrmann,"Sep 17, 1962","New South Wales, Australia"
114,https://resizing.flixster.com/FHeZDfiS4ovRMJaeyRju4l1dumk=/218x280/v2/https://flxt.tmsimg.com/assets/859839_v9_bb.jpg,Olivia DeJonge,"Apr 30, 1998","Melbourne, Victoria, Australia"
115,https://resizing.flixster.com/w7TLtbFx_SXMKV2M66eOY49Z_IE=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/312027/312027_v9_bb.jpg,Katheryn Winnick,"Dec 17, 1977","Toronto, Ontario, Canada"
116,https://resizing.flixster.com/IpH7RYXgLsM3_EdCAFzkG-pgQpQ=/218x280/v2/https://flxt.tmsimg.com/assets/219003_v9_bb.jpg,Lisa Emery,"Jan 29, 1952","Pittsburgh, Pennsylvania, USA"
117,https://resizing.flixster.com/SbNkpDdbnrUoEqKgsknxSB34zCs=/218x280/v2/https://flxt.tmsimg.com/v9/AllPhotos/241649/241649_v9_ba.jpg,Cerina Vincent,"Feb 7, 1979","Las Vegas, Nevada, USA"
